Día,Mes,Año,Dolar_Compra,Dolar_Venta,EBORU_Dolar_Compra,EBORU_Dolar_Venta,Euro_Compra,Euro_Venta,Arg_Compra,Arg_Venta,Br_Compra,Br_Venta
2,Ene,2017,28.63,29.63,28.86,29.4,29.61,31.74,1.58,2.08,8.55,9.35
3,Ene,2017,28.1,29.2,28.37,28.9,28.88,31.1,1.55,2.05,8.39,9.09
4,Ene,2017,28,29.15,28.33,28.85,28.64,30.89,1.52,1.97,8.44,9.09
5,Ene,2017,28.02,29.18,28.35,28.98,28.87,31.14,1.51,1.96,8.57,9.22
9,Ene,2017,28,29.15,28.34,28.82,29.14,31.41,1.52,1.97,8.6,9.25
10,Ene,2017,28.07,29.23,28.38,28.9,29.14,31.42,1.53,1.98,8.64,9.29
11,Ene,2017,28.05,29.26,28.39,28.92,29.11,31.44,1.54,1.99,8.63,9.28
12,Ene,2017,28.15,29.36,28.48,29.04,29.19,31.83,1.54,1.99,8.68,9.33
13,Ene,2017,28.06,29.26,28.4,28.94,29.19,31.83,1.54,1.99,8.7,9.35
16,Ene,2017,28.1,29.34,28.47,28.98,29.23,31.92,1.54,1.99,8.61,9.26
17,Ene,2017,28.11,29.35,28.48,28.99,29.14,31.82,1.54,1.99,8.54,9.19
18,Ene,2017,28.03,29.27,28.38,28.9,29.34,32.05,1.53,1.98,8.6,9.25
19,Ene,2017,28,29.2,28.3,28.84,29.21,31.86,1.52,1.97,8.55,9.2
20,Ene,2017,28,29.2,28.33,28.87,29.11,31.75,1.53,1.98,8.59,9.24
23,Ene,2017,27.96,29.16,28.32,28.82,29.23,31.87,1.53,1.98,8.66,9.31
24,Ene,2017,27.76,28.96,28.08,28.6,29.29,31.64,1.51,1.96,8.63,9.28
25,Ene,2017,27.69,28.95,28.07,28.62,29.19,31.6,1.51,1.96,8.6,9.25
26,Ene,2017,27.75,28.95,28.08,28.63,29.25,31.6,1.51,1.96,8.62,9.27
27,Ene,2017,27.7,28.9,28.05,28.59,29.12,31.46,1.51,1.96,8.59,9.24
30,Ene,2017,27.7,28.9,28.03,28.55,29.1,31.44,1.51,1.96,8.66,9.31
31,Ene,2017,27.6,28.8,27.9,28.45,28.99,31.33,1.5,1.95,8.69,9.34
1,Feb,2017,27.58,28.78,27.91,28.44,29.26,31.61,1.5,1.95,8.62,9.27
2,Feb,2017,27.66,28.86,28,28.53,29.24,31.59,1.52,1.97,8.67,9.32
3,Feb,2017,27.75,28.95,28.1,28.62,29.38,31.73,1.54,1.99,8.76,9.41
6,Feb,2017,27.82,29.02,28.16,28.67,29.42,31.78,1.55,2,8.77,9.42
7,Feb,2017,27.77,28.97,28.11,28.63,29.32,31.68,1.53,1.98,8.76,9.41
8,Feb,2017,27.85,29.05,28.2,28.72,29.26,31.62,1.54,1.99,8.79,9.44
9,Feb,2017,27.95,29.25,28.33,28.87,29.34,31.8,1.55,2,8.85,9.5
10,Feb,2017,27.93,29.23,28.33,28.85,29.25,31.7,1.56,2.01,8.81,9.46
13,Feb,2017,27.98,29.28,28.34,28.89,29.23,31.68,1.5,2.1,8.76,9.66
14,Feb,2017,27.9,29.2,28.35,28.81,29.07,31.51,1.5,2.1,8.73,9.63
15,Feb,2017,27.8,29.1,28.19,28.71,28.87,31.3,1.52,2.07,8.8,9.6
16,Feb,2017,27.75,29.05,28.13,28.66,28.88,31.31,1.53,2.08,8.88,9.68
17,Feb,2017,27.65,28.95,28.04,28.56,28.99,31.42,1.51,2.06,8.78,9.58
20,Feb,2017,27.66,28.86,27.99,28.51,28.85,31.17,1.48,2.03,8.72,9.52
21,Feb,2017,27.67,28.87,28.01,28.52,28.85,31.18,1.48,2.03,8.76,9.56
22,Feb,2017,27.73,28.93,28.07,28.61,28.73,31.05,1.5,2.05,8.77,9.57
23,Feb,2017,27.79,28.99,28.12,28.64,28.84,31.16,1.5,2.05,8.84,9.64
24,Feb,2017,27.9,29.1,28.23,28.74,28.98,31.31,1.52,2.07,8.91,9.71
1,Mar,2017,28,29.1,28.28,28.8,29.08,31.3,1.52,2.07,8.78,9.58
2,Mar,2017,27.9,28.9,28.13,28.65,28.95,31.06,1.52,2.07,8.76,9.56
3,Mar,2017,27.85,28.8,28.07,28.59,28.74,30.78,1.52,2.07,8.61,9.41
6,Mar,2017,27.82,28.72,27.97,28.51,28.97,30.98,1.54,2.04,8.68,9.48
7,Mar,2017,27.78,28.68,28,28.47,28.9,30.9,1.53,2.03,8.64,9.44
8,Mar,2017,27.88,28.78,28.07,28.6,28.95,30.95,1.52,2.02,8.69,9.49
9,Mar,2017,27.9,29,28.2,28.71,28.91,31.12,1.52,2.02,8.6,9.4
10,Mar,2017,27.95,29.05,28.24,28.75,29.08,31.3,1.52,2.04,8.52,9.32
13,Mar,2017,27.85,28.95,28.15,28.66,29.23,31.47,1.54,2.04,8.64,9.44
14,Mar,2017,27.8,28.9,28.1,28.61,29.12,31.34,1.53,2.03,8.6,9.4
15,Mar,2017,27.88,28.98,28.16,28.69,29.07,31.29,1.53,2.03,8.54,9.34
